 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      126    0.000    0.000    0.005    0.000 typing.py:802(__getitem__)
      184    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       82    0.000    0.000    0.000    0.000 _make.py:73(attrib)
      265    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
    176/3    0.000    0.000    0.154    0.051 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      423    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       21    0.000    0.000    0.013    0.001 re.py:289(_compile)
      235    0.000    0.000    0.000    0.000 matrix.py:39(<listcomp>)
       36    0.000    0.000    0.016    0.000 _make.py:946(wrap)
       78    0.000    0.000    0.001    0.000 uuid.py:778(uuid4)
      102    0.000    0.000    0.000    0.000 _make.py:1768(__init__)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
      231    0.000    0.000    0.000    0.000 matrix.py:225(get_col)
      239    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      115    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      118    0.000    0.000    0.000    0.000 _make.py:355(<genexpr>)
        2    0.000    0.000    0.009    0.005 pathlib.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      246    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      463    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      168    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      126    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       23    0.000    0.000    0.000    0.000 _make.py:500(_patch_original_class)
       21    0.000    0.000    0.013    0.001 sre_compile.py:759(compile)
       82    0.000    0.000    0.000    0.000 _make.py:1975(__init__)
      116    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
       59    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       78    0.000    0.000    0.000    0.000 uuid.py:271(__str__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
    86/35    0.000    0.000    0.134    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       24    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.031    0.031 compat.py:1(<module>)
       55    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      103    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
      319    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      329    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       38    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      201    0.000    0.000    0.001    0.000 typing.py:685(<genexpr>)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
       25    0.000    0.000    0.000    0.000 _make.py:705(add_order)
        1    0.000    0.000    0.002    0.002 tokenize.py:1(<module>)
       21    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      290    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
        1    0.000    0.000    0.003    0.003 hookspec.py:1(<module>)
       36    0.000    0.000    0.001    0.000 _make.py:363(<listcomp>)
       16    0.000    0.000    0.001    0.000 _make.py:1088(_make_hash)
       97    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
        1    0.000    0.000    0.015    0.015 code.py:1(<module>)
       72    0.000    0.000    0.001    0.000 typing.py:496(__init__)
        1    0.000    0.000    0.015    0.015 fixtures.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:1550(_execute_child)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       97    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
       22    0.000    0.000    0.001    0.000 typing.py:878(__class_getitem__)
       64    0.000    0.000    0.000    0.000 random.py:616(gauss)
        1    0.000    0.000    0.030    0.030 _make.py:1(<module>)
     22/4    0.000    0.000    0.135    0.034 {built-in method builtins.__import__}
      220    0.000    0.000    0.000    0.000 _make.py:740(_determine_eq_order)
        1    0.000    0.000    0.003    0.003 typing.py:1(<module>)
       48    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       26    0.000    0.000    0.000    0.000 typing.py:586(__init__)
       13    0.000    0.000    0.001    0.000 householder.py:8(__init__)
        1    0.000    0.000    0.002    0.002 python.py:1(<module>)
       42    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       79    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      261    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      128    0.000    0.000    0.000    0.000 typing.py:532(__hash__)
      115    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      129    0.000    0.000    0.001    0.000 typing.py:830(<genexpr>)
       21    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      126    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       22    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
       66    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        3    0.000    0.000    0.000    0.000 enum.py:456(<listcomp>)
        1    0.000    0.000    0.007    0.007 zipfile.py:1(<module>)
      184    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      125    0.000    0.000    0.000    0.000 _make.py:708(<genexpr>)
      163    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       25    0.000    0.000    0.003    0.000 _make.py:695(add_eq)
       38    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      115    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      115    0.000    0.000    0.000    0.000 _make.py:1473(<genexpr>)
       78    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       45    0.000    0.000    0.002    0.000 enum.py:283(__call__)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:327(PytestPluginManager)
      153    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
    29/18    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       49    0.000    0.000    0.000    0.000 os.py:800(fsencode)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       12    0.000    0.000    0.015    0.001 householder.py:41(multiply_right)
      126    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       21    0.000    0.000    0.000    0.000 enum.py:833(__and__)
      124    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       13    0.000    0.000    0.000    0.000 matrix_view.py:64(scale)
      159    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       35    0.000    0.000    0.004    0.000 _make.py:679(add_init)
        1    0.000    0.000    0.000    0.000 subprocess.py:1097(_close_pipe_fds)
        1    0.000    0.000    0.061    0.061 rewrite.py:1(<module>)
       28    0.000    0.000    0.000    0.000 _make.py:1270(_make_repr)
      192    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       49    0.000    0.000    0.000    0.000 subprocess.py:1632(<genexpr>)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _make.py:1100(append_hash_computation_lines)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       41    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      128    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 opcode.py:2(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      143    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
        1    0.000    0.000    0.021    0.021 uuid.py:1(<module>)
       64    0.000    0.000    0.000    0.000 generate.py:5(generate_normal)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 bdb.py:17(Bdb)
       36    0.000    0.000    0.002    0.000 _make.py:767(attrs)
      135    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        1    0.000    0.000    0.003    0.003 structures.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      139    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      117    0.000    0.000    0.000    0.000 _make.py:402(<genexpr>)
       75    0.000    0.000    0.000    0.000 _make.py:698(<genexpr>)
      106    0.000    0.000    0.000    0.000 _make.py:1278(<genexpr>)
        1    0.000    0.000    0.023    0.023 main.py:1(<module>)
        1    0.000    0.000    0.016    0.016 svd.py:10(reduce_to_bidiagonal)
       21    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
        3    0.000    0.000    0.002    0.001 enum.py:386(_create_)
        1    0.000    0.000    0.003    0.003 runner.py:1(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
       54    0.000    0.000    0.000    0.000 _make.py:1539(fmt_setter)
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      104    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    7.624    7.624 profile_one.py:8(time_svd)
        9    0.000    0.000    0.000    0.000 enum.py:510(_find_new_)
       13    0.000    0.000    0.000    0.000 _make.py:553(<dictcomp>)
